Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2017/1/25,SPY,228.699997,229.570007,228.509995,229.570007,225.191986,84437700
2017/1/26,SPY,229.399994,229.710007,229.009995,229.330002,224.956558,59970700
2017/1/27,SPY,229.419998,229.589996,228.759995,228.970001,224.603424,59711100
2017/1/30,SPY,228.169998,228.199997,226.410004,227.550003,223.21051,79737300
2017/1/31,SPY,226.979996,227.600006,226.320007,227.529999,223.190887,75880800
2017/2/1,SPY,227.529999,228.589996,226.940002,227.619995,223.279175,79117700
2017/2/2,SPY,227.619995,228.100006,226.820007,227.770004,223.426331,69657600
2017/2/3,SPY,228.820007,229.550003,228.460007,229.339996,224.96637,80563200
2017/2/6,SPY,228.869995,229.330002,228.539993,228.929993,224.564178,57790100
2017/2/7,SPY,229.380005,229.660004,228.720001,228.940002,224.574005,57931200
2017/2/8,SPY,228.940002,229.389999,228.309998,229.240005,224.868286,51566200
2017/2/9,SPY,229.240005,230.949997,229.240005,230.600006,226.202347,65955200
2017/2/10,SPY,231,231.770004,230.619995,231.509995,227.094986,66015900
2017/2/13,SPY,232.080002,233.070007,232.050003,232.770004,228.330963,55182100
2017/2/14,SPY,232.559998,233.710007,232.160004,233.699997,229.24321,67794500
2017/2/15,SPY,233.449997,235.139999,233.389999,234.919998,230.439957,86785800
2017/2/16,SPY,234.949997,235.160004,233.850006,234.720001,230.243774,84722400
2017/2/17,SPY,233.949997,235.089996,233.929993,235.089996,230.606705,77204100
2017/2/21,SPY,235.520004,236.690002,235.509995,236.490005,231.980011,88946100
2017/2/22,SPY,236.020004,236.539993,235.830002,236.279999,231.774017,62115200
2017/2/23,SPY,236.880005,236.899994,235.559998,236.440002,231.930984,74615900
2017/2/24,SPY,235.460007,236.789993,235.410004,236.740005,232.22525,82381600
2017/2/27,SPY,236.639999,237.309998,236.350006,237.110001,232.588181,56515400
2017/2/28,SPY,236.669998,236.949997,236.020004,236.470001,231.960403,96961900
2017/3/1,SPY,238.389999,240.320007,238.369995,239.779999,235.20726,149158200
2017/3/2,SPY,239.559998,239.570007,238.210007,238.270004,233.726074,70246000
2017/3/3,SPY,238.169998,238.610001,237.729996,238.419998,233.87323,81974300
2017/3/6,SPY,237.5,238.119995,237.009995,237.710007,233.176743,55391500
2017/3/7,SPY,237.360001,237.770004,236.759995,237,232.480301,65103700
2017/3/8,SPY,237.339996,237.639999,236.399994,236.559998,232.048691,78168800
2017/3/9,SPY,236.699997,237.240005,235.740005,236.860001,232.342972,90683900
2017/3/10,SPY,237.970001,238.020004,236.589996,237.690002,233.15715,81991700
2017/3/13,SPY,237.619995,237.860001,237.240005,237.809998,233.274841,57256800
2017/3/14,SPY,237.179993,237.240005,236.190002,236.899994,232.382187,59880800
2017/3/15,SPY,237.559998,239.440002,237.289993,238.949997,234.393112,96081800
2017/3/16,SPY,239.110001,239.199997,238.100006,238.479996,233.932053,78344000
2017/3/17,SPY,237.75,237.970001,237.029999,237.029999,233.52124,89002100
